Date,Open,High,Low,Close,Adj Close,Volume
2017-12-24,46200.433594,46200.433594,39361.156250,44432.414063,44432.414063,147258198331
2017-12-25,44734.667969,50089.167969,44734.667969,49021.035156,49021.035156,159497565793
2017-12-26,48863.312500,50374.226563,48707.449219,49556.457031,49556.457031,140962282301
2017-12-27,49629.078125,50618.742188,47369.195313,48905.800781,48905.800781,134632920223
2017-12-28,48865.156250,48936.378906,44942.582031,47221.062500,47221.062500,153072837425
2017-12-29,47436.722656,49156.570313,46569.054688,48101.777344,48101.777344,169083754079
2017-12-30,48116.011719,48116.011719,43738.296875,45782.515625,45782.515625,203476003528
2017-12-31,45460.492188,48533.015625,45326.898438,48302.265625,48302.265625,163039051036
2018-01-01,48239.968750,49827.601563,47362.117188,49197.914063,49197.914063,165285026150
2018-01-02,49179.132813,58251.800781,49179.132813,56117.968750,56117.968750,366953542271
2018-01-03,56216.699219,61878.910156,55161.835938,61132.718750,61132.718750,323415655935
2018-01-04,61068.777344,66252.843750,60014.964844,62185.550781,62185.550781,412248795500
2018-01-05,61857.671875,68104.453125,60564.062500,63185.605469,63185.605469,423243878353
2018-01-06,63023.101563,67174.765625,62989.410156,65969.601563,65969.601563,295258378414
2018-01-07,66053.820313,73030.257813,66053.820313,73030.257813,73030.257813,352740504453
2018-01-08,73352.609375,80187.171875,64498.851563,72897.203125,72897.203125,536383073008
2018-01-09,72736.617188,84100.187500,72704.250000,82747.945313,82747.945313,507121008864
2018-01-10,82786.140625,90241.039063,78036.289063,79895.265625,79895.265625,586255144450
2018-01-11,80675.882813,85079.031250,72287.625000,73545.945313,73545.945313,460782105888
2018-01-12,73759.906250,82479.984375,71327.328125,80975.515625,80975.515625,332138290175
2018-01-13,80801.890625,91131.171875,80801.890625,88812.312500,88812.312500,365493948210
2018-01-14,88879.726563,89075.617188,81802.953125,86926.570313,86926.570313,307927681228
2018-01-15,86827.351563,88441.523438,81966.007813,82049.843750,82049.843750,303647663032
2018-01-16,82094.929688,82741.250000,56043.632813,67446.695313,67446.695313,538013009350
2018-01-17,67936.375000,69643.890625,49885.296875,64790.289063,64790.289063,545864833066
2018-01-18,64930.187500,70227.289063,61801.089844,66176.843750,66176.843750,379221107025
2018-01-19,65700.445313,69791.164063,64096.921875,66315.359375,66315.359375,260669602063
2018-01-20,66688.703125,74484.960938,66688.703125,73721.671875,73721.671875,253696626821
2018-01-21,73755.500000,73755.500000,65192.128906,66984.195313,66984.195313,215589702779
2018-01-22,67352.437500,69571.703125,59474.351563,64088.250000,64088.250000,243389185956
2018-01-23,64146.378906,65230.910156,58804.093750,62872.097656,62872.097656,226739618880
